"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 23:08:12 TRT 2025","Tue Oct 21 23:08:19 TRT 2025","6344","","US_011: As an administrator I want to be able to access course price plans via API connection.","","AC_01> adminToken / 200 / ""success""","","AC_01> adminToken / 200 / ""success""",""
"passed","Tue Oct 21 23:08:27 TRT 2025","Tue Oct 21 23:08:28 TRT 2025","477","","US_014 As an administrator, I want to be able to update the information","","AC_05> invalidToken / validId / 401 / ""Unauthenticated.""","","AC_05> invalidToken / validId / 401 / ""Unauthenticated.""","  of the course price plan with the specified id number via API connection."
"broken","Tue Oct 21 18:26:19 TRT 2025","Tue Oct 21 18:26:24 TRT 2025","5346","","BACKEND JDBC TESTING","","US14 Check NULL reason exists in refund_reasons","","US14 Check NULL reason exists in refund_reasons",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US31 Review stats for a product; validate min rating < 3","","US31 Review stats for a product; validate min rating < 3",""
"broken","Tue Oct 21 20:53:38 TRT 2025","Tue Oct 21 20:53:43 TRT 2025","5256","","BACKEND JDBC TESTING","","US14 Check NULL reason exists in refund_reasons","","US14 Check NULL reason exists in refund_reasons",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","6","","BACKEND JDBC TESTING","","US27 Unique descriptions for two payment methods","","US27 Unique descriptions for two payment methods",""
"broken","Tue Oct 21 23:08:45 TRT 2025","Tue Oct 21 23:08:47 TRT 2025","1421","","As an administrator, I want to be able to update the information","","Verify a PATCH body containing valid authorization information and the correct (id) and correct","","Verify a PATCH body containing valid authorization information and the correct (id) and correct","  of the blog with the specified id number via the API connection.
  data (title, category_id, description, content) is sent to the api/updateBlog/{id}
  endpoint, it must be verified that the returned status code is 200, the remark informationin
  the response body is ""success"" and the message information is ""Successfully Updated."""
"failed","Tue Oct 21 23:08:34 TRT 2025","Tue Oct 21 23:08:35 TRT 2025","515","","US_015 As an administrator, I want to be able to delete course price plan information with the specified id number via API connection.","","AC_05> adminToken / validId / Deleted Price Plans ID = validId","","AC_05> adminToken / validId / Deleted Price Plans ID = validId",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","6","","BACKEND JDBC TESTING","","US32 Support tickets by department and status","","US32 Support tickets by department and status",""
"broken","Tue Oct 21 20:54:26 TRT 2025","Tue Oct 21 20:54:31 TRT 2025","5216","","BACKEND JDBC TESTING","","US23 Count types where module is not null","","US23 Count types where module is not null",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","25","","BACKEND JDBC TESTING","","US03 Delete from cities and verify","","US03 Delete from cities and verify",""
"broken","Tue Oct 21 18:27:08 TRT 2025","Tue Oct 21 18:27:13 TRT 2025","5332","","BACKEND JDBC TESTING","","US23 Count types where module is not null","","US23 Count types where module is not null",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","8","","BACKEND JDBC TESTING","","US19 opening_balance must not update to negative","","US19 opening_balance must not update to negative",""
"passed","Tue Oct 21 23:07:33 TRT 2025","Tue Oct 21 23:07:38 TRT 2025","5510","","BACKEND JDBC TESTING (Instulearn)","","US_027 best-selling product per seller","","US_027 best-selling product per seller",""
"passed","Tue Oct 21 23:08:51 TRT 2025","Tue Oct 21 23:08:55 TRT 2025","3940","","US-52 Get Support by ID","","GET Non-existing ID US-52 AC-03","","GET Non-existing ID US-52 AC-03",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US20 Bulk insert 10 device_tokens and verify","","US20 Bulk insert 10 device_tokens and verify",""
"broken","Tue Oct 21 20:53:59 TRT 2025","Tue Oct 21 20:54:04 TRT 2025","5537","","BACKEND JDBC TESTING","","US18 Bulk insert 5 bank_accounts and verify","","US18 Bulk insert 5 bank_accounts and verify",""
"failed","Tue Oct 21 23:08:36 TRT 2025","Tue Oct 21 23:08:38 TRT 2025","1713","","As an administrator I want to be able to access blogs via API connection.","","The information returned in the response body for id(x) must be verified","","The information returned in the response body for id(x) must be verified",""
"passed","Tue Oct 21 23:09:47 TRT 2025","Tue Oct 21 23:09:53 TRT 2025","5250","","US-54 Update Support","","POST /api/supports ile kayıt oluştur; PATCH kapalıysa 405 dönmeli","","POST /api/supports ile kayıt oluştur; PATCH kapalıysa 405 dönmeli",""
"passed","Tue Oct 21 23:08:22 TRT 2025","Tue Oct 21 23:08:22 TRT 2025","614","","US_12 As an administrator, I should be able to access the detailed information","","AC_02> adminToken / validId / responseBodyInformation","","AC_02> adminToken / validId / responseBodyInformation","  of the course price plan with the specified id number via the API connection."
"broken","Tue Oct 21 20:53:32 TRT 2025","Tue Oct 21 20:53:38 TRT 2025","5250","","BACKEND JDBC TESTING","","US13 First 3 products with no coupon relation","","US13 First 3 products with no coupon relation",""
"passed","Mon Oct 20 13:55:17 TRT 2025","Mon Oct 20 13:55:18 TRT 2025","362","","US_014 As an administrator, I want to be able to update the information","","AC_07> adminToken / validId / getRequest / data.title","","AC_07> adminToken / validId / getRequest / data.title","  of the course price plan with the specified id number via API connection."
"unknown","Tue Oct 21 18:47:02 TRT 2025","Tue Oct 21 18:47:02 TRT 2025","2","","BACKEND JDBC TESTING","","US07 Placeholder scenario","","US07 Placeholder scenario",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","8","","BACKEND JDBC TESTING","","US09 Count topics by ip and method","","US09 Count topics by ip and method",""
"passed","Tue Oct 21 23:09:38 TRT 2025","Tue Oct 21 23:09:43 TRT 2025","4410","","US-53 Support Add","","POST addSupport Empty Body (422) US-53 AC-03","","POST addSupport Empty Body (422) US-53 AC-03",""
"passed","Tue Oct 21 23:08:20 TRT 2025","Tue Oct 21 23:08:21 TRT 2025","1353","","US_011: As an administrator I want to be able to access course price plans via API connection.","","AC_03> invalidToken / validId / 401 / ""Unauthenticated.""","","AC_03> invalidToken / validId / 401 / ""Unauthenticated.""",""
"skipped","Tue Oct 21 20:52:45 TRT 2025","Tue Oct 21 20:52:50 TRT 2025","5231","","BACKEND JDBC TESTING","","US03 Delete from cities and verify","","US03 Delete from cities and verify",""
"broken","Tue Oct 21 18:27:35 TRT 2025","Tue Oct 21 18:27:40 TRT 2025","5437","","BACKEND JDBC TESTING","","US28 Unique user_ids by reference_no pattern","","US28 Unique user_ids by reference_no pattern",""
"skipped","Tue Oct 21 21:38:01 TRT 2025","Tue Oct 21 21:38:01 TRT 2025","119","","BACKEND JDBC TESTING","","US01 Verify name for slug=fashion in categories","","US01 Verify name for slug=fashion in categories",""
"passed","Tue Oct 21 18:27:51 TRT 2025","Tue Oct 21 18:27:57 TRT 2025","5727","","BACKEND JDBC TESTING","","US31 Review stats for a product; validate min rating < 3","","US31 Review stats for a product; validate min rating < 3",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","17","","BACKEND JDBC TESTING","","US05 Insert then delete contact by email","","US05 Insert then delete contact by email",""
"passed","Tue Oct 21 23:08:34 TRT 2025","Tue Oct 21 23:08:34 TRT 2025","348","","US_015 As an administrator, I want to be able to delete course price plan information with the specified id number via API connection.","","AC_04> invalidToken / validId / 401 / ""Unauthenticated.""","","AC_04> invalidToken / validId / 401 / ""Unauthenticated.""",""
"passed","Tue Oct 21 23:08:55 TRT 2025","Tue Oct 21 23:09:15 TRT 2025","19657","","US-53 Support Add","","Diagnose addSupport endpoint  US-53 AC-01 candidates","","Diagnose addSupport endpoint  US-53 AC-01 candidates",""
"passed","Tue Oct 21 17:56:01 TRT 2025","Tue Oct 21 17:56:07 TRT 2025","6032","","BACKEND JDBC TESTING","","US33 Active in-stock products created in last 30 days","","US33 Active in-stock products created in last 30 days",""
"passed","Tue Oct 21 23:07:38 TRT 2025","Tue Oct 21 23:07:44 TRT 2025","5347","","BACKEND JDBC TESTING (Instulearn)","","US_028 total sales per seller and max","","US_028 total sales per seller and max",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","18","","BACKEND JDBC TESTING","","US02 Insert into cities and verify","","US02 Insert into cities and verify",""
"passed","Tue Oct 21 23:08:41 TRT 2025","Tue Oct 21 23:08:41 TRT 2025","394","","As an administrator, I should be able to access the detailed information of the blog with the","","When a GET request is sent to the /api/blog/{id} endpoint with valid authorization information and the correct data (id),","","When a GET request is sent to the /api/blog/{id} endpoint with valid authorization information and the correct data (id),","  specified id number via the API connection.
  it should be verified that the status code returned is 200
  and the remark in the response body is “success”."
"passed","Tue Oct 21 23:09:53 TRT 2025","Tue Oct 21 23:09:53 TRT 2025","399","","US-54 Update Support","","PATCH updateSupport/{id} Nonexistent US-54 AC-03","","PATCH updateSupport/{id} Nonexistent US-54 AC-03",""
"broken","Tue Oct 21 20:54:57 TRT 2025","Tue Oct 21 20:55:03 TRT 2025","5285","","BACKEND JDBC TESTING","","US29 Average grand_total of paid orders","","US29 Average grand_total of paid orders",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","10","","BACKEND JDBC TESTING","","US12 List unique notes grouped by day","","US12 List unique notes grouped by day",""
"passed","Tue Oct 21 23:08:27 TRT 2025","Tue Oct 21 23:08:27 TRT 2025","370","","US_014 As an administrator, I want to be able to update the information","","AC_04> adminToken / id no data / patchRequest / 203 / ""failed"" / ""No id""","","AC_04> adminToken / id no data / patchRequest / 203 / ""failed"" / ""No id""","  of the course price plan with the specified id number via API connection."
"passed","Tue Oct 21 23:06:30 TRT 2025","Tue Oct 21 23:06:36 TRT 2025","5685","","BACKEND JDBC TESTING (Instulearn)","","US_016 verify product stock updates after order","","US_016 verify product stock updates after order",""
"broken","Tue Oct 21 18:46:51 TRT 2025","Tue Oct 21 18:46:56 TRT 2025","5826","","BACKEND JDBC TESTING","","US05 Insert then delete contact by email","","US05 Insert then delete contact by email",""
"broken","Tue Oct 21 18:27:40 TRT 2025","Tue Oct 21 18:27:45 TRT 2025","5352","","BACKEND JDBC TESTING","","US29 Average grand_total of paid orders","","US29 Average grand_total of paid orders",""
"passed","Tue Oct 21 23:07:00 TRT 2025","Tue Oct 21 23:07:05 TRT 2025","5370","","BACKEND JDBC TESTING (Instulearn)","","US_021 users ban metrics","","US_021 users ban metrics",""
"broken","Tue Oct 21 18:26:51 TRT 2025","Tue Oct 21 18:26:57 TRT 2025","5348","","BACKEND JDBC TESTING","","US20 Bulk insert 10 device_tokens and verify","","US20 Bulk insert 10 device_tokens and verify",""
"broken","Tue Oct 21 20:54:15 TRT 2025","Tue Oct 21 20:54:20 TRT 2025","5231","","BACKEND JDBC TESTING","","US21 Count by order_id and update shipping_name","","US21 Count by order_id and update shipping_name",""
"broken","Tue Oct 21 18:25:57 TRT 2025","Tue Oct 21 18:26:03 TRT 2025","5409","","BACKEND JDBC TESTING","","US10 Count users with different shipping/billing","","US10 Count users with different shipping/billing",""
"passed","Tue Oct 21 23:08:49 TRT 2025","Tue Oct 21 23:08:50 TRT 2025","677","","US-52 Get Support by ID","","GET Valid ID US-52 AC-01","","GET Valid ID US-52 AC-01",""
"broken","Tue Oct 21 20:53:22 TRT 2025","Tue Oct 21 20:53:27 TRT 2025","5260","","BACKEND JDBC TESTING","","US11 Sum amount for Referral in id range","","US11 Sum amount for Referral in id range",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US24 Filter orders by email & subtotal, order_number desc","","US24 Filter orders by email & subtotal, order_number desc",""
"passed","Tue Oct 21 23:05:40 TRT 2025","Tue Oct 21 23:05:45 TRT 2025","5418","","BACKEND JDBC TESTING (Instulearn)","","US_007 verify webinar id by start timestamp","","US_007 verify webinar id by start timestamp",""
"passed","Tue Oct 21 23:09:53 TRT 2025","Tue Oct 21 23:09:53 TRT 2025","339","","US-54 Update Support","","PATCH updateSupport/{id} Empty Body US-54 AC-02","","PATCH updateSupport/{id} Empty Body US-54 AC-02",""
"broken","Tue Oct 21 18:27:45 TRT 2025","Tue Oct 21 18:27:51 TRT 2025","5371","","BACKEND JDBC TESTING","","US30 Total cost of buy-now products before date","","US30 Total cost of buy-now products before date",""
"broken","Tue Oct 21 20:52:39 TRT 2025","Tue Oct 21 20:52:44 TRT 2025","5341","","BACKEND JDBC TESTING","","US02 Insert into cities and verify","","US02 Insert into cities and verify",""
"broken","Tue Oct 21 20:54:20 TRT 2025","Tue Oct 21 20:54:26 TRT 2025","5273","","BACKEND JDBC TESTING","","US22 Insert one digital_gift_card then delete by id","","US22 Insert one digital_gift_card then delete by id",""
"skipped","Mon Oct 20 18:11:20 TRT 2025","Mon Oct 20 18:11:20 TRT 2025","77","","BACKEND JDBC TESTING","","US04 Insert contact and update message","","US04 Insert contact and update message",""
"passed","Tue Oct 21 23:08:23 TRT 2025","Tue Oct 21 23:08:24 TRT 2025","1096","","US_12 As an administrator, I should be able to access the detailed information","","AC_04 invalidToken / validId / 401 / ""Unauthenticated.""","","AC_04 invalidToken / validId / 401 / ""Unauthenticated.""","  of the course price plan with the specified id number via the API connection."
"passed","Tue Oct 21 23:08:25 TRT 2025","Tue Oct 21 23:08:25 TRT 2025","359","","US_13 As an administrator I want to be able to create a new course price plan record via API connection.","","AC_04> adminToken / creatId / 200 / ""success""","","AC_04> adminToken / creatId / 200 / ""success""",""
"broken","Tue Oct 21 18:26:35 TRT 2025","Tue Oct 21 18:26:41 TRT 2025","5350","","BACKEND JDBC TESTING","","US17 Verify email of user id=5 from pre-2022 attendances","","US17 Verify email of user id=5 from pre-2022 attendances",""
"passed","Tue Oct 21 17:18:53 TRT 2025","Tue Oct 21 17:19:00 TRT 2025","6923","","BACKEND JDBC TESTING","","US32 Support tickets by department and status","","US32 Support tickets by department and status",""
"broken","Tue Oct 21 18:26:14 TRT 2025","Tue Oct 21 18:26:19 TRT 2025","5335","","BACKEND JDBC TESTING","","US13 First 3 products with no coupon relation","","US13 First 3 products with no coupon relation",""
"passed","Tue Oct 21 23:10:11 TRT 2025","Tue Oct 21 23:10:12 TRT 2025","853","","US-55 Delete Support","","DEL deleteSupport/{id} Confirm Deletion US-55 AC-04","","DEL deleteSupport/{id} Confirm Deletion US-55 AC-04",""
"passed","Tue Oct 21 23:06:42 TRT 2025","Tue Oct 21 23:06:48 TRT 2025","6301","","BACKEND JDBC TESTING (Instulearn)","","US_018 high priority discounts physical & virtual","","US_018 high priority discounts physical & virtual",""
"skipped","Tue Oct 21 23:08:47 TRT 2025","Tue Oct 21 23:08:47 TRT 2025","448","","As an administrator, I want to be able to create a new blog post via API connection.","","When a POST request is sent to the /api/addBlog endpoint without valid authorization information and data, it should be verified that the status code returned is 422 and the message information in the response body is","","When a POST request is sent to the /api/addBlog endpoint without valid authorization information and data, it should be verified that the status code returned is 422 and the message information in the response body is","  “The title field is required. (and 3 more errors)”"
"passed","Tue Oct 21 23:07:55 TRT 2025","Tue Oct 21 23:08:01 TRT 2025","6288","","BACKEND JDBC TESTING (Instulearn)","","US_031 review stats for a product","","US_031 review stats for a product",""
"passed","Tue Oct 21 23:06:09 TRT 2025","Tue Oct 21 23:06:14 TRT 2025","5239","","BACKEND JDBC TESTING (Instulearn)","","US_012 become_instructors count by role","","US_012 become_instructors count by role",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","9","","BACKEND JDBC TESTING","","US10 Count users with different shipping/billing","","US10 Count users with different shipping/billing",""
"failed","Tue Oct 21 23:08:41 TRT 2025","Tue Oct 21 23:08:43 TRT 2025","1176","","As an administrator, I should be able to access the detailed information of the blog with the","","The contents of the list data (id, category_id, author_id, slug, image, visit_count, enable_comment, status, created_at, updated_at,","","The contents of the list data (id, category_id, author_id, slug, image, visit_count, enable_comment, status, created_at, updated_at,","  specified id number via the API connection.
  id, blog_id, locale, title) in the response body must be verified."
"broken","Tue Oct 21 18:46:34 TRT 2025","Tue Oct 21 18:46:40 TRT 2025","5414","","BACKEND JDBC TESTING","","US02 Insert into cities and verify","","US02 Insert into cities and verify",""
"broken","Tue Oct 21 20:53:48 TRT 2025","Tue Oct 21 20:53:54 TRT 2025","5263","","BACKEND JDBC TESTING","","US16 List ids with shipping_address='Switzerland' using orders","","US16 List ids with shipping_address='Switzerland' using orders",""
"passed","Tue Oct 21 23:06:36 TRT 2025","Tue Oct 21 23:06:42 TRT 2025","5918","","BACKEND JDBC TESTING (Instulearn)","","US_017 paid+credit orders sum by date","","US_017 paid+credit orders sum by date",""
"passed","Tue Oct 21 23:08:01 TRT 2025","Tue Oct 21 23:08:06 TRT 2025","5242","","BACKEND JDBC TESTING (Instulearn)","","US_032 support ticket counts by department & status","","US_032 support ticket counts by department & status",""
"passed","Tue Oct 21 23:08:33 TRT 2025","Tue Oct 21 23:08:34 TRT 2025","405","","US_015 As an administrator, I want to be able to delete course price plan information with the specified id number via API connection.","","AC_03> adminToken / id no data / deleteRequest / 203 / ""failed"" / ""No id""","","AC_03> adminToken / id no data / deleteRequest / 203 / ""failed"" / ""No id""",""
"passed","Tue Oct 21 23:09:53 TRT 2025","Tue Oct 21 23:09:54 TRT 2025","342","","US-54 Update Support","","PATCH updateSupport/{id} Invalid Token US-54 AC-04","","PATCH updateSupport/{id} Invalid Token US-54 AC-04",""
"broken","Tue Oct 21 20:53:17 TRT 2025","Tue Oct 21 20:53:22 TRT 2025","5285","","BACKEND JDBC TESTING","","US10 Count users with different shipping/billing","","US10 Count users with different shipping/billing",""
"passed","Tue Oct 21 23:08:19 TRT 2025","Tue Oct 21 23:08:20 TRT 2025","1137","","US_011: As an administrator I want to be able to access course price plans via API connection.","","AC_02> adminToken / validId / responseBodyInformation","","AC_02> adminToken / validId / responseBodyInformation",""
"passed","Tue Oct 21 23:06:25 TRT 2025","Tue Oct 21 23:06:30 TRT 2025","5782","","BACKEND JDBC TESTING (Instulearn)","","US_015 products out of stock (ignore NULLs)","","US_015 products out of stock (ignore NULLs)",""
"broken","Tue Oct 21 20:54:36 TRT 2025","Tue Oct 21 20:54:41 TRT 2025","5253","","BACKEND JDBC TESTING","","US25 Group by txn_id: max_amount > 9000 sorted","","US25 Group by txn_id: max_amount > 9000 sorted",""
"broken","Tue Oct 21 20:54:04 TRT 2025","Tue Oct 21 20:54:10 TRT 2025","5378","","BACKEND JDBC TESTING","","US19 opening_balance must not update to negative","","US19 opening_balance must not update to negative",""
"broken","Tue Oct 21 18:27:13 TRT 2025","Tue Oct 21 18:27:18 TRT 2025","5525","","BACKEND JDBC TESTING","","US24 Filter orders by email & subtotal, order_number desc","","US24 Filter orders by email & subtotal, order_number desc",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US21 Count by order_id and update shipping_name","","US21 Count by order_id and update shipping_name",""
"passed","Tue Oct 21 23:06:48 TRT 2025","Tue Oct 21 23:06:54 TRT 2025","5790","","BACKEND JDBC TESTING (Instulearn)","","US_019 failed_jobs insert 5","","US_019 failed_jobs insert 5",""
"skipped","Mon Oct 20 18:11:21 TRT 2025","Mon Oct 20 18:11:21 TRT 2025","20","","BACKEND JDBC TESTING","","US05 Insert then delete contact by email","","US05 Insert then delete contact by email",""
"passed","Tue Oct 21 23:08:06 TRT 2025","Tue Oct 21 23:08:12 TRT 2025","5848","","BACKEND JDBC TESTING (Instulearn)","","US_033 active in-stock products last 30 days","","US_033 active in-stock products last 30 days",""
"passed","Tue Oct 21 23:08:48 TRT 2025","Tue Oct 21 23:08:49 TRT 2025","566","","US-51 Supports List & Field Validation","","GET Validate fields US-51 AC-02","","GET Validate fields US-51 AC-02",""
"passed","Tue Oct 21 23:08:28 TRT 2025","Tue Oct 21 23:08:28 TRT 2025","361","","US_014 As an administrator, I want to be able to update the information","","AC_06> adminToken / validId / Updated Price Plans ID = validId","","AC_06> adminToken / validId / Updated Price Plans ID = validId","  of the course price plan with the specified id number via API connection."
"passed","Mon Oct 20 13:55:17 TRT 2025","Mon Oct 20 13:55:17 TRT 2025","776","","US_014 As an administrator, I want to be able to update the information","","AC_06> adminToken / validId / Updated Price Plans ID = validId","","AC_06> adminToken / validId / Updated Price Plans ID = validId","  of the course price plan with the specified id number via API connection."
"broken","Tue Oct 21 20:53:01 TRT 2025","Tue Oct 21 20:53:06 TRT 2025","5267","","BACKEND JDBC TESTING","","US06 Count products per coupon","","US06 Count products per coupon",""
"broken","Tue Oct 21 20:53:54 TRT 2025","Tue Oct 21 20:53:59 TRT 2025","5259","","BACKEND JDBC TESTING","","US17 Verify email of user id=5 from pre-2022 attendances","","US17 Verify email of user id=5 from pre-2022 attendances",""
"passed","Tue Oct 21 23:05:50 TRT 2025","Tue Oct 21 23:05:56 TRT 2025","5282","","BACKEND JDBC TESTING (Instulearn)","","US_009 freeze meetings by total payment>5000","","US_009 freeze meetings by total payment>5000",""
"broken","Tue Oct 21 18:27:18 TRT 2025","Tue Oct 21 18:27:24 TRT 2025","5318","","BACKEND JDBC TESTING","","US25 Group by txn_id: max_amount > 9000 sorted","","US25 Group by txn_id: max_amount > 9000 sorted",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","6","","BACKEND JDBC TESTING","","US28 Unique user_ids by reference_no pattern","","US28 Unique user_ids by reference_no pattern",""
"passed","Tue Oct 21 23:08:33 TRT 2025","Tue Oct 21 23:08:33 TRT 2025","388","","US_015 As an administrator, I want to be able to delete course price plan information with the specified id number via API connection.","","AC_02> adminToken / deleteId / deleteRequest / 203 / ""failed"" / ""There is not ticket for this id.""","","AC_02> adminToken / deleteId / deleteRequest / 203 / ""failed"" / ""There is not ticket for this id.""",""
